burst_id,started_utc,mode,n_frames,skew_median_us,skew_mad_sigma_us,skew_p05_us,skew_p95_us,cadence_sd_ms,soc_note,completed,frames_written,losses,mean_write_MBps
2026-09-11T23-54-59Z,2026-09-11T23:54:59Z,line2,240,7398.47,17.939,7372.26,7423.0,0.044311,,True,240,0,63.7528
2026-09-12T00-10-06Z,2026-09-12T00:10:06Z,line2,240,7801.655,21.646,7774.49,7828.91,0.0458132,,True,240,0,63.8072
2026-09-12T00-20-06Z,2026-09-12T00:20:06Z,software,240,7815.685,43.285,7756.0,7879.02,0.189434,,True,240,0,63.7573
2026-09-12T00-30-06Z,2026-09-12T00:30:06Z,line2,240,8462.2,24.923,8428.38,8495.89,0.193595,,True,240,0,63.7272
2026-09-12T00-40-06Z,2026-09-12T00:40:06Z,software,240,8523.285,40.327,8461.94,8586.0,0.0472742,,True,240,0,63.7125
2026-09-12T00-50-06Z,2026-09-12T00:50:06Z,line2,240,9185.77,27.146,9151.3,9219.51,0.0461885,,True,240,0,63.7182
2026-09-12T01-00-06Z,2026-09-12T01:00:06Z,software,240,9254.89,38.622,9193.43,9319.08,0.124255,,True,240,0,63.7042
2026-09-12T01-10-06Z,2026-09-12T01:10:06Z,line2,240,9935.93,28.192,9900.98,9973.08,0.0459133,,True,240,0,63.6913
2026-09-12T01-20-06Z,2026-09-12T01:20:06Z,software,240,10034.2,40.846,9976.0,10093.0,0.0456089,,True,240,0,63.6861
2026-09-12T01-30-06Z,2026-09-12T01:30:06Z,line2,240,10721.65,28.021,10685.5,10758.9,0.0588872,,True,240,0,63.6855
2026-09-12T01-40-06Z,2026-09-12T01:40:06Z,software,240,10817.45,36.546,10750.0,10874.9,0.0929255,,True,240,0,63.6869
2026-09-12T01-50-06Z,2026-09-12T01:50:06Z,line2,240,11514.95,29.43,11478.6,11551.5,0.0984982,,True,240,0,63.6872
2026-09-12T02-00-06Z,2026-09-12T02:00:06Z,software,240,11617.05,38.77,11557.2,11679.7,0.0457202,,True,240,0,63.6776
2026-09-12T02-10-06Z,2026-09-12T02:10:06Z,line2,240,12315.6,31.654,12276.8,12353.8,0.0450382,,True,240,0,63.6831
2026-09-12T02-20-06Z,2026-09-12T02:20:06Z,software,240,12417.0,42.773,12356.1,12478.0,0.0891846,,True,240,0,64.2019
