utc,assert_s,assert_ns,offset_us,pulse_count,soc_temp_c
2026-09-12T00:00:23Z,1789171223,005088794,5088.8,3830,46.3
2026-09-12T00:00:33Z,1789171233,005104444,5104.4,3840,47.4
2026-09-12T00:00:43Z,1789171243,005117653,5117.7,3850,46.9
2026-09-12T00:00:53Z,1789171253,005133088,5133.1,3860,45.8
2026-09-12T00:01:03Z,1789171263,005149062,5149.1,3870,46.9
2026-09-12T00:01:13Z,1789171273,005165818,5165.8,3880,48.0
2026-09-12T00:01:23Z,1789171283,005179390,5179.4,3890,47.4
2026-09-12T00:01:33Z,1789171293,005193705,5193.7,3900,46.9
2026-09-12T00:01:43Z,1789171303,005209687,5209.7,3910,48.0
2026-09-12T00:01:53Z,1789171313,005224264,5224.3,3920,47.4
2026-09-12T00:02:03Z,1789171323,005238452,5238.5,3930,48.5
2026-09-12T00:02:13Z,1789171333,005255252,5255.3,3940,48.0
2026-09-12T00:02:23Z,1789171343,005269626,5269.6,3950,49.0
2026-09-12T00:02:33Z,1789171353,005283017,5283.0,3960,48.0
2026-09-12T00:02:43Z,1789171363,005300834,5300.8,3970,48.5
2026-09-12T00:02:53Z,1789171373,005314575,5314.6,3980,48.5
2026-09-12T00:03:03Z,1789171383,005329278,5329.3,3990,49.0
2026-09-12T00:03:13Z,1789171393,005343683,5343.7,4000,48.5
2026-09-12T00:03:23Z,1789171403,005359456,5359.5,4010,48.5
2026-09-12T00:03:33Z,1789171413,005374153,5374.2,4020,48.5
2026-09-12T00:03:43Z,1789171423,005388624,5388.6,4030,48.5
2026-09-12T00:03:53Z,1789171433,005402167,5402.2,4040,47.4
2026-09-12T00:04:03Z,1789171443,005416447,5416.4,4050,49.6
2026-09-12T00:04:13Z,1789171453,005430834,5430.8,4060,49.0
2026-09-12T00:04:23Z,1789171463,005444107,5444.1,4070,48.5
2026-09-12T00:04:33Z,1789171473,005458949,5458.9,4080,48.5
2026-09-12T00:04:43Z,1789171483,005473008,5473.0,4090,48.0
2026-09-12T00:04:53Z,1789171493,005489175,5489.2,4100,46.9
2026-09-12T00:05:03Z,1789171503,005470491,5470.5,4110,47.4
2026-09-12T00:05:13Z,1789171513,005414473,5414.5,4120,46.3
2026-09-12T00:05:23Z,1789171523,005362042,5362.0,4130,47.4
2026-09-12T00:05:33Z,1789171533,005310895,5310.9,4140,46.9
2026-09-12T00:05:43Z,1789171543,005260456,5260.5,4150,46.3
2026-09-12T00:05:53Z,1789171553,005211517,5211.5,4160,46.9
2026-09-12T00:06:03Z,1789171563,005164519,5164.5,4170,47.4
2026-09-12T00:06:13Z,1789171573,005117310,5117.3,4180,46.3
2026-09-12T00:06:23Z,1789171583,005071852,5071.9,4190,47.4
2026-09-12T00:06:33Z,1789171593,005027030,5027.0,4200,47.4
2026-09-12T00:06:43Z,1789171603,004984085,4984.1,4210,47.4
2026-09-12T00:06:53Z,1789171613,004940773,4940.8,4220,47.4
2026-09-12T00:07:03Z,1789171623,004902150,4902.1,4230,46.9
2026-09-12T00:07:13Z,1789171633,004859178,4859.2,4240,46.3
2026-09-12T00:07:23Z,1789171643,004818801,4818.8,4250,48.0
2026-09-12T00:07:33Z,1789171653,004779909,4779.9,4260,48.5
2026-09-12T00:07:43Z,1789171663,004740742,4740.7,4270,48.0
2026-09-12T00:07:53Z,1789171673,004704080,4704.1,4280,46.9
2026-09-12T00:08:03Z,1789171683,004667441,4667.4,4290,46.9
2026-09-12T00:08:13Z,1789171693,004632180,4632.2,4300,46.9
2026-09-12T00:08:23Z,1789171703,004597280,4597.3,4310,48.5
2026-09-12T00:08:33Z,1789171713,004563391,4563.4,4320,47.4
2026-09-12T00:08:43Z,1789171723,004530237,4530.2,4330,46.9
2026-09-12T00:08:53Z,1789171733,004497138,4497.1,4340,48.5
2026-09-12T00:09:03Z,1789171743,004465558,4465.6,4350,48.0
2026-09-12T00:09:13Z,1789171753,004434594,4434.6,4360,48.5
2026-09-12T00:09:23Z,1789171763,004404638,4404.6,4370,47.4
2026-09-12T00:09:33Z,1789171773,004374898,4374.9,4380,48.0
2026-09-12T00:09:43Z,1789171783,004346860,4346.9,4390,48.0
2026-09-12T00:09:53Z,1789171793,004318140,4318.1,4400,48.0
2026-09-12T00:10:03Z,1789171803,004291278,4291.3,4410,46.9
2026-09-12T00:10:13Z,1789171813,004266652,4266.7,4420,49.0
2026-09-12T00:10:23Z,1789171823,004239988,4240.0,4430,50.1
2026-09-12T00:10:33Z,1789171833,004214052,4214.1,4440,50.1
2026-09-12T00:10:43Z,1789171843,004189312,4189.3,4450,48.5
2026-09-12T00:10:53Z,1789171853,004163829,4163.8,4460,48.0
2026-09-12T00:11:03Z,1789171863,004140703,4140.7,4470,48.5
2026-09-12T00:11:13Z,1789171873,004117423,4117.4,4480,49.0
2026-09-12T00:11:23Z,1789171883,004093734,4093.7,4490,48.5
2026-09-12T00:11:33Z,1789171893,004072016,4072.0,4500,47.4
2026-09-12T00:11:43Z,1789171903,004050385,4050.4,4510,47.4
2026-09-12T00:11:53Z,1789171913,004028480,4028.5,4520,48.0
2026-09-12T00:12:03Z,1789171923,004008975,4009.0,4530,46.9
2026-09-12T00:12:13Z,1789171933,003987859,3987.9,4540,46.9
2026-09-12T00:12:23Z,1789171943,003968325,3968.3,4550,48.0
2026-09-12T00:12:33Z,1789171953,003948475,3948.5,4560,48.0
2026-09-12T00:12:43Z,1789171963,003931945,3931.9,4570,46.3
2026-09-12T00:12:53Z,1789171973,003914450,3914.4,4580,46.9
2026-09-12T00:13:03Z,1789171983,003898702,3898.7,4590,46.3
2026-09-12T00:13:13Z,1789171993,003882727,3882.7,4600,46.9
2026-09-12T00:13:23Z,1789172003,003867647,3867.6,4610,46.9
2026-09-12T00:13:33Z,1789172013,003853193,3853.2,4620,46.9
2026-09-12T00:13:43Z,1789172023,003838930,3838.9,4630,46.9
2026-09-12T00:13:53Z,1789172033,003825331,3825.3,4640,46.9
2026-09-12T00:14:03Z,1789172043,003811870,3811.9,4650,47.4
2026-09-12T00:14:13Z,1789172053,003797870,3797.9,4660,47.4
2026-09-12T00:14:23Z,1789172063,003785657,3785.7,4670,46.9
2026-09-12T00:14:33Z,1789172073,003774649,3774.6,4680,46.3
2026-09-12T00:14:43Z,1789172083,003765635,3765.6,4690,46.9
2026-09-12T00:14:53Z,1789172093,003750939,3750.9,4700,47.4
2026-09-12T00:15:03Z,1789172103,003741647,3741.6,4710,46.9
2026-09-12T00:15:13Z,1789172113,003729178,3729.2,4720,48.0
2026-09-12T00:15:23Z,1789172123,003719894,3719.9,4730,47.4
2026-09-12T00:15:34Z,1789172133,003708788,3708.8,4740,46.3
2026-09-12T00:15:44Z,1789172144,003697968,3698.0,4751,48.0
2026-09-12T00:15:54Z,1789172154,003687769,3687.8,4761,46.9
2026-09-12T00:16:04Z,1789172164,003679172,3679.2,4771,46.9
2026-09-12T00:16:14Z,1789172174,003670872,3670.9,4781,46.9
2026-09-12T00:16:24Z,1789172184,003661439,3661.4,4791,48.0
2026-09-12T00:16:34Z,1789172194,003653866,3653.9,4801,48.0
2026-09-12T00:16:44Z,1789172204,003644923,3644.9,4811,48.0
2026-09-12T00:16:54Z,1789172214,003638457,3638.5,4821,46.9
2026-09-12T00:17:04Z,1789172224,003631443,3631.4,4831,47.4
2026-09-12T00:17:14Z,1789172234,003623043,3623.0,4841,48.0
2026-09-12T00:17:24Z,1789172244,003615639,3615.6,4851,48.5
2026-09-12T00:17:34Z,1789172254,003610336,3610.3,4861,46.3
2026-09-12T00:17:44Z,1789172264,003603630,3603.6,4871,48.5
2026-09-12T00:17:54Z,1789172274,003598755,3598.8,4881,48.5
2026-09-12T00:18:04Z,1789172284,003592891,3592.9,4891,46.9
2026-09-12T00:18:14Z,1789172294,003587441,3587.4,4901,48.0
2026-09-12T00:18:24Z,1789172304,003581010,3581.0,4911,48.0
2026-09-12T00:18:34Z,1789172314,003577037,3577.0,4921,48.5
2026-09-12T00:18:44Z,1789172324,003572297,3572.3,4931,47.4
2026-09-12T00:18:54Z,1789172334,003568320,3568.3,4941,48.0
2026-09-12T00:19:04Z,1789172344,003563324,3563.3,4951,48.0
2026-09-12T00:19:14Z,1789172354,003560102,3560.1,4961,46.9
2026-09-12T00:19:24Z,1789172364,003555555,3555.6,4971,47.4
2026-09-12T00:19:34Z,1789172374,003553346,3553.3,4981,47.4
2026-09-12T00:19:44Z,1789172384,003548804,3548.8,4991,48.5
2026-09-12T00:19:54Z,1789172394,003546462,3546.5,5001,48.5
2026-09-12T00:20:04Z,1789172404,003545519,3545.5,5011,47.4
2026-09-12T00:20:14Z,1789172414,003544304,3544.3,5021,49.0
2026-09-12T00:20:24Z,1789172424,003541758,3541.8,5031,49.0
2026-09-12T00:20:34Z,1789172434,003537413,3537.4,5041,48.0
2026-09-12T00:20:44Z,1789172444,003536267,3536.3,5051,48.5
2026-09-12T00:20:54Z,1789172454,003532759,3532.8,5061,48.0
2026-09-12T00:21:04Z,1789172464,003530441,3530.4,5071,48.0
2026-09-12T00:21:14Z,1789172474,003528476,3528.5,5081,48.5
2026-09-12T00:21:24Z,1789172484,003525676,3525.7,5091,48.0
2026-09-12T00:21:34Z,1789172494,003524777,3524.8,5101,48.5
2026-09-12T00:21:44Z,1789172504,003523647,3523.6,5111,47.4
2026-09-12T00:21:54Z,1789172514,003521412,3521.4,5121,48.5
2026-09-12T00:22:04Z,1789172524,003520161,3520.2,5131,46.9
2026-09-12T00:22:14Z,1789172534,003520371,3520.4,5141,48.5
2026-09-12T00:22:24Z,1789172544,003516764,3516.8,5151,46.9
2026-09-12T00:22:34Z,1789172554,003517260,3517.3,5161,46.9
2026-09-12T00:22:44Z,1789172564,003517301,3517.3,5171,46.9
2026-09-12T00:22:54Z,1789172574,003516477,3516.5,5181,46.3
2026-09-12T00:23:04Z,1789172584,003517415,3517.4,5191,46.9
2026-09-12T00:23:14Z,1789172594,003519260,3519.3,5201,46.3
2026-09-12T00:23:24Z,1789172604,003519713,3519.7,5211,45.2
2026-09-12T00:23:34Z,1789172614,003522029,3522.0,5221,45.2
2026-09-12T00:23:44Z,1789172624,003524615,3524.6,5231,46.3
2026-09-12T00:23:54Z,1789172634,003527725,3527.7,5241,46.9
2026-09-12T00:24:04Z,1789172644,003529655,3529.7,5251,46.9
2026-09-12T00:24:14Z,1789172654,003533956,3534.0,5261,46.9
2026-09-12T00:24:24Z,1789172664,003536165,3536.2,5271,46.9
2026-09-12T00:24:34Z,1789172674,003539962,3540.0,5281,46.3
2026-09-12T00:24:44Z,1789172684,003543846,3543.8,5291,45.8
2026-09-12T00:24:54Z,1789172694,003546758,3546.8,5301,47.4
2026-09-12T00:25:04Z,1789172704,003552920,3552.9,5311,47.4
2026-09-12T00:25:14Z,1789172714,003553642,3553.6,5321,46.9
2026-09-12T00:25:24Z,1789172724,003556609,3556.6,5331,46.3
2026-09-12T00:25:34Z,1789172734,003559928,3559.9,5341,47.4
