utc,elapsed_s,role,frame,p50,p99,p999,max,clipped_pct,r_pct,g_pct,b_pct,black_pct
2026-09-17T22:22:30Z,0,cam0,000034.raw,49,255,255,255,1.02,0.17,1.49,0.95,0.00
2026-09-17T22:22:30Z,0,cam1,000035.raw,52,255,255,255,1.21,0.66,1.50,1.19,0.00
2026-09-17T22:23:30Z,60,cam0,000155.raw,49,255,255,255,1.08,0.19,1.56,1.01,0.00
2026-09-17T22:23:30Z,60,cam1,000155.raw,50,252,255,255,0.99,0.57,1.23,0.91,0.00
2026-09-17T22:24:30Z,120,cam0,000275.raw,47,237,255,255,0.74,0.09,1.06,0.74,0.00
2026-09-17T22:24:30Z,120,cam1,000275.raw,47,232,255,255,0.83,0.48,1.03,0.77,0.00
2026-09-17T22:25:30Z,180,cam0,000396.raw,48,241,255,255,0.80,0.11,1.16,0.77,0.00
2026-09-17T22:25:30Z,180,cam1,000396.raw,49,255,255,255,1.09,0.57,1.36,1.06,0.00
2026-09-17T22:26:30Z,240,cam0,000516.raw,47,246,255,255,0.87,0.12,1.26,0.82,0.00
2026-09-17T22:26:31Z,240,cam1,000516.raw,48,245,255,255,0.93,0.56,1.16,0.85,0.00
2026-09-17T22:27:31Z,301,cam0,000637.raw,48,255,255,255,1.96,0.77,2.51,2.03,0.00
2026-09-17T22:27:31Z,301,cam1,000637.raw,50,255,255,255,2.11,1.29,2.48,2.20,0.00
2026-09-17T22:28:31Z,361,cam0,000757.raw,46,249,255,255,0.93,0.18,1.26,1.02,0.00
2026-09-17T22:28:31Z,361,cam1,000757.raw,49,255,255,255,1.43,0.72,1.73,1.53,0.00
2026-09-17T22:29:31Z,421,cam0,000878.raw,48,255,255,255,1.08,0.18,1.54,1.06,0.00
2026-09-17T22:29:31Z,421,cam1,000878.raw,51,255,255,255,2.00,1.25,2.34,2.07,0.00
2026-09-17T22:30:31Z,481,cam0,000998.raw,47,245,255,255,0.85,0.12,1.24,0.80,0.00
2026-09-17T22:30:32Z,481,cam1,000998.raw,49,229,255,255,0.82,0.51,1.03,0.72,0.00
2026-09-17T22:31:32Z,542,cam0,001119.raw,47,255,255,255,1.12,0.25,1.55,1.13,0.00
2026-09-17T22:31:32Z,542,cam1,001119.raw,51,255,255,255,1.99,0.89,2.43,2.22,0.00
2026-09-17T22:32:32Z,602,cam0,001239.raw,46,250,255,255,0.93,0.15,1.32,0.92,0.00
2026-09-17T22:32:32Z,602,cam1,001239.raw,49,255,255,255,1.15,0.57,1.43,1.17,0.00
2026-09-17T22:33:32Z,662,cam0,001360.raw,47,255,255,255,1.02,0.22,1.42,1.01,0.00
2026-09-17T22:33:32Z,662,cam1,001360.raw,49,249,255,255,0.96,0.56,1.19,0.91,0.00
2026-09-17T22:34:32Z,722,cam0,001480.raw,45,239,255,255,0.77,0.11,1.13,0.73,0.00
2026-09-17T22:34:33Z,722,cam1,001480.raw,47,225,255,255,0.79,0.49,0.98,0.68,0.00
2026-09-17T22:35:33Z,783,cam0,001601.raw,47,245,255,255,0.85,0.12,1.23,0.83,0.00
2026-09-17T22:35:33Z,783,cam1,001601.raw,52,240,255,255,0.87,0.47,1.09,0.83,0.00
2026-09-17T22:36:33Z,843,cam0,001721.raw,45,239,255,255,0.77,0.11,1.12,0.72,0.00
2026-09-17T22:36:33Z,843,cam1,001721.raw,49,247,255,255,0.94,0.49,1.19,0.89,0.00
2026-09-17T22:37:33Z,903,cam0,001842.raw,45,240,255,255,0.79,0.11,1.15,0.75,0.00
2026-09-17T22:37:33Z,903,cam1,001842.raw,50,255,255,255,1.28,0.57,1.59,1.38,0.00
2026-09-17T22:38:33Z,963,cam0,001962.raw,45,255,255,255,1.16,0.37,1.54,1.19,0.00
2026-09-17T22:38:33Z,963,cam1,001962.raw,48,255,255,255,1.30,0.80,1.56,1.29,0.00
2026-09-17T22:39:34Z,1024,cam0,002082.raw,45,255,255,255,1.60,0.65,2.04,1.69,0.00
2026-09-17T22:39:34Z,1024,cam1,002083.raw,50,255,255,255,2.48,1.36,2.92,2.73,0.00
2026-09-17T22:40:34Z,1084,cam0,002203.raw,46,237,255,255,0.74,0.09,1.07,0.72,0.00
2026-09-17T22:40:34Z,1084,cam1,002203.raw,52,255,255,255,2.15,1.26,2.51,2.29,0.00
2026-09-17T22:41:34Z,1144,cam0,002324.raw,43,229,255,255,0.68,0.07,0.93,0.81,0.00
