utc,elapsed_s,soc_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,throttled,sda_c,sdb_c,ambient_c,sda_wr_mbs,sdb_wr_mbs,vault_free_gb,vault2_free_gb,rss_mb,pps_count,acq_running
2026-09-17T22:22:00Z,0,40.2,2400,2400,2400,2400,0x0,30,35,19,0.0,0.0,7061,7273,,340,0
2026-09-17T22:22:01Z,1,38.0,2400,2400,2400,2400,0x0,30,35,19,0.0,0.0,7061,7273,,341,0
2026-09-17T22:22:02Z,2,39.7,2400,2400,2400,2400,0x0,30,35,19,0.0,0.0,7061,7273,,342,0
2026-09-17T22:22:03Z,3,38.6,2400,2400,2400,2400,0x0,30,35,19,0.0,0.0,7061,7273,,343,0
2026-09-17T22:22:04Z,4,39.1,2400,2400,2400,2400,0x0,30,35,19,0.0,0.0,7061,7273,,344,0
2026-09-17T22:22:05Z,5,39.1,2400,2400,2400,2400,0x0,30,35,19,0.0,0.0,7061,7273,22,345,1
2026-09-17T22:22:06Z,6,39.1,2400,2400,2400,2400,0x0,30,35,19,0.0,0.0,7061,7273,22,346,1
2026-09-17T22:22:07Z,7,39.1,2400,2400,2400,2400,0x0,30,35,19,0.0,0.0,7061,7273,39,347,1
2026-09-17T22:22:08Z,8,39.7,2400,2400,2400,2400,0x0,30,35,19,0.0,0.0,7061,7273,65,348,1
2026-09-17T22:22:09Z,9,38.0,2400,2400,2400,2400,0x0,30,35,19,0.0,0.0,7061,7273,66,349,1
2026-09-17T22:22:10Z,10,38.0,2400,2400,2400,2400,0x0,30,35,19,0.0,0.0,7061,7273,378,350,1
2026-09-17T22:22:11Z,11,39.7,2400,2400,2400,2400,0x0,30,35,19,0.0,0.0,7061,7273,1892,351,1
2026-09-17T22:22:13Z,13,40.2,2400,2400,2400,2400,0x0,30,35,19,0.0,0.0,7061,7273,1931,353,1
2026-09-17T22:22:14Z,14,39.7,2400,2400,2400,2400,0x0,30,35,19,0.0,0.0,7061,7273,2048,354,1
2026-09-17T22:22:15Z,15,40.2,2400,2400,2400,2400,0x0,30,35,19,0.0,0.0,7061,7273,2109,355,1
2026-09-17T22:22:16Z,16,39.7,2400,2400,2400,2400,0x0,30,35,19,0.0,32.3,7061,7273,2171,356,1
