elapsed_s,vm_rss_kb,vm_hwm_kb,threads,soc_temp_c,arm_clock_hz,throttled,dirty_kb,writeback_kb,mem_available_kb,vault_used_gb,dev_util_pct,dev_wmbps
5,77668,77668,29,39.1,2400023808,0x0,288,0,7330864,1,0.0,0.0
10,2191760,2191760,34,38.6,2400020480,0x0,189368,0,4684088,1,0.0,0.0
15,2506808,2506808,34,38.6,2400030464,0x0,409780,0,4364520,1,4.9,18.5
20,2506808,2506808,34,39.7,2400020480,0x0,393984,0,4361448,1,17.3,64.6
25,2506808,2506808,34,39.1,2400030464,0x0,409872,12,4375604,2,15.8,58.5
31,2506808,2506808,34,40.2,2400030464,0x0,409824,0,4363756,2,18.4,67.7
36,2506808,2506808,34,40.2,2400027136,0x0,283632,0,4360516,2,22.3,86.2
41,2506816,2506816,34,40.2,2400027136,0x0,409864,80,4358812,3,9.9,36.9
46,2506816,2506816,34,40.2,2400027136,0x0,425504,0,4350660,3,15.8,58.5
51,2506744,2506744,34,39.7,2400033792,0x0,346736,0,4352056,3,20.8,76.9
56,2506744,2506744,34,40.8,2400027136,0x0,220704,0,4348332,3,22.8,86.2
61,2506724,2506724,34,41.4,2400030464,0x0,118040,8156,4356140,4,21.3,81.0
66,2506728,2506728,34,41.9,2400023808,0x0,417788,15312,4362648,4,2.3,8.3
71,2506728,2506728,34,41.4,2400027136,0x0,425488,0,4362208,4,16.4,61.6
76,2506728,2506728,34,40.2,2400030464,0x0,394004,0,4347560,5,18.0,67.7
81,2506728,2506728,34,41.9,2400027136,0x0,409828,12,4360316,5,15.7,58.5
86,2506728,2506728,34,43.0,2400030464,0x0,378304,0,4352888,5,18.2,67.7
91,2506736,2506736,34,40.2,2400020480,0x0,252256,0,4354344,6,22.5,86.2
96,2506736,2506736,34,41.9,2400037120,0x0,425484,136,4369028,6,7.6,27.7
102,2506736,2506736,34,41.9,2400027136,0x0,425484,0,4354180,6,17.9,67.7
107,2506736,2506736,34,41.9,2400033792,0x0,346716,0,4346356,6,20.4,76.9
112,2506736,2506736,34,42.5,2400020480,0x0,157636,0,4336780,7,25.8,98.5
117,2506740,2506740,34,41.4,2400027136,0x0,78780,0,4348632,7,20.3,77.0
122,2506740,2506740,34,41.4,2400033792,0x0,393980,0,4361236,7,0.1,0.0
127,2506740,2506740,34,41.4,2400037120,0x0,283680,0,4338792,8,21.8,83.1
132,2506740,2506740,34,43.0,2400030464,0x0,417308,8192,4352608,8,11.0,41.3
137,2506740,2506740,34,43.0,2400027136,0x0,393900,15756,4351936,8,17.1,64.8
142,2506744,2506744,34,43.0,2400027136,0x0,315208,0,4351640,9,20.6,78.5
147,2506744,2506744,34,43.0,2400017408,0x0,393908,0,4348820,9,12.3,46.2
152,2506744,2506744,34,43.5,2400033792,0x0,409720,0,4342436,9,15.6,58.5
157,2506744,2506744,34,41.9,2400027136,0x0,283620,0,4348612,10,22.5,86.2
162,2506744,2506744,34,41.4,2400033792,0x0,409744,36,4369904,10,9.9,36.9
168,2506744,2506744,34,43.0,2400030464,0x0,425556,15672,4351160,10,16.7,63.2
173,2506748,2506748,34,44.6,2400017408,0x0,378164,0,4335504,10,18.9,72.3
178,2506748,2506748,34,44.1,2400033792,0x0,252180,0,4346524,11,22.6,86.2
183,2506748,2506748,34,45.2,2400033792,0x0,126056,0,4341972,11,22.5,86.2
188,2506748,2506748,34,43.0,2400017408,0x0,394100,0,4354896,11,2.5,9.2
193,2506748,2506748,34,44.6,2400020480,0x0,342568,0,4345332,12,18.6,71.6
198,2506752,2506752,34,44.1,2400033792,0x0,393984,12,4360992,12,13.7,51.5
203,2506752,2506752,34,44.6,2400023808,0x0,425484,7616,4352188,12,16.4,61.1
208,2506752,2506752,34,44.1,2400027136,0x0,365912,0,4337608,13,19.3,73.7
213,2506752,2506752,34,45.2,2400030464,0x0,212404,0,4333816,13,24.1,91.5
218,2506752,2506752,34,45.2,2400030464,0x0,394044,148,4338860,13,7.1,26.1
223,2506756,2506756,34,44.6,2400030464,0x0,220592,0,4349772,13,25.0,95.4
228,2506756,2506756,34,45.8,2400027136,0x0,145272,0,4346860,14,20.0,76.3
