index,status,pps_anchor_ns,planned_ns,trigger_ns,retrieved_ns,retrieval_latency_us,interval_ms,cam0_frame_id,cam1_frame_id,cam0_dev_ts,cam1_dev_ts,dev_skew_us
1,0,1787682124003208498,1787682124003208498,1787682124003218405,1787682124058455528,55237.1,0,1,1,335729403688,335724358744,5044.94
2,0,1787682124003208498,1787682124503208498,1787682124503266681,1787682124556710602,53443.9,500.048,2,2,336229294768,336224100800,5193.97
3,0,1787682125003205440,1787682125003205440,1787682125003217662,1787682125056541184,53323.5,499.951,3,3,336729229608,336724063528,5166.08
4,0,1787682125003205440,1787682125503205440,1787682125503262788,1787682125556564552,53301.8,500.045,4,4,337229238608,337224070960,5167.65
5,0,1787682126003200323,1787682126003200323,1787682126003212545,1787682126056592500,53380,499.95,5,5,337729262632,337724093448,5169.18
6,0,1787682126003200323,1787682126503200323,1787682126503257576,1787682126556602495,53344.9,500.045,6,6,338229286576,338224131064,5155.51
7,0,1787682127003198200,1787682127003198200,1787682127003211293,1787682127056730939,53519.6,499.954,7,7,338729252176,338724050040,5202.14
8,0,1787682127003198200,1787682127503198200,1787682127503258597,1787682127556547931,53289.3,500.047,8,8,339229216848,339224086656,5130.19
9,0,1787682128003193977,1787682128003193977,1787682128003206384,1787682128056587706,53381.3,499.948,9,9,339729210632,339724021336,5189.3
10,0,1787682128003193977,1787682128503193977,1787682128503252424,1787682128556639005,53386.6,500.046,10,10,340229294416,340224161712,5132.7
11,0,1787682129003189743,1787682129003189743,1787682129003202224,1787682129056624627,53422.4,499.95,11,11,340729229096,340724065992,5163.1
12,0,1787682129003189743,1787682129503189743,1787682129503247702,1787682129556635939,53388.2,500.045,12,12,341229268576,341224117552,5151.02
13,0,1787682130003186145,1787682130003186145,1787682130003198904,1787682130056650684,53451.8,499.951,13,13,341729233552,341724095608,5137.94
14,0,1787682130003186145,1787682130503186145,1787682130503243542,1787682130556556545,53313,500.045,14,14,342229227632,342224014632,5213
