elapsed_s,vm_rss_kb,vm_hwm_kb,threads,soc_temp_c,arm_clock_hz,throttled,dirty_kb,writeback_kb,mem_available_kb,vault_used_gb,dev_util_pct,dev_wmbps
2,68004,68004,29,46.3,2400030464,0x0,60,0,7166628,15,0.0,0.0
5,181232,190660,29,48.0,2400033792,0x0,60,0,6974500,15,0.1,0.0
7,2034756,2034756,34,49.6,2400020480,0x0,31640,0,4685876,15,0.0,0.0
9,2160772,2160772,34,46.9,2400033792,0x0,157628,0,4566544,15,0.0,0.0
11,2286788,2286788,34,48.5,2400030464,0x0,236380,0,4430332,15,6.4,23.1
13,2412808,2412808,34,46.9,2400033792,0x0,362432,0,4300560,15,0.0,0.0
15,2507324,2507324,34,46.9,2400027136,0x0,394020,96,4216736,15,12.3,46.2
17,2507324,2507324,34,48.0,2400037120,0x0,393960,12,4210180,16,16.6,61.6
19,2507324,2507324,34,46.3,2400030464,0x0,378152,40,4229048,16,18.6,69.2
21,2507324,2507324,34,48.0,2400027136,0x0,417380,8584,4221184,16,15.2,55.8
23,2507324,2507324,34,48.0,2400033792,0x0,385940,8140,4218888,16,20.6,78.2
25,2507324,2507324,34,46.9,2400030464,0x0,409664,0,4209612,16,13.4,50.8
27,2507324,2507324,34,47.4,2400023808,0x0,252100,0,4204160,16,36.1,138.5
29,2507324,2507324,34,48.0,2400033792,0x0,378152,0,4203668,16,0.0,0.0
31,2507324,2507324,34,48.0,2400020480,0x0,409728,0,4190896,16,12.4,46.2
34,2507324,2507324,34,48.0,2400027136,0x0,228724,0,4203000,17,42.0,161.6
36,2507324,2507324,34,48.0,2400020480,0x0,362480,0,4220596,17,0.4,0.1
38,2507324,2507324,34,47.4,2400020480,0x0,393964,0,4220640,17,12.2,46.2
40,2507332,2507332,34,48.0,2400030464,0x0,378204,0,4221244,17,18.4,69.2
42,2507332,2507332,34,48.0,2400020480,0x0,409708,0,4218504,17,12.4,46.2
44,2507332,2507332,34,48.0,2400033792,0x0,394004,0,4232624,17,18.4,69.2
46,2507332,2507332,34,48.0,2400037120,0x0,378200,40,4221372,17,18.6,69.3
48,2507332,2507332,34,48.5,2400033792,0x0,267996,0,4219740,17,30.1,115.4
50,2507332,2507332,34,47.4,2400037120,0x0,410844,4,4213376,18,0.5,1.2
52,2507332,2507332,34,48.0,2400033792,0x0,409740,0,4212984,18,18.1,68.0
54,2507332,2507332,34,47.4,2400030464,0x0,252180,0,4221200,18,36.0,138.5
56,2507332,2507332,34,47.4,2400033792,0x0,378248,0,4212924,18,0.2,0.0
58,2507332,2507332,34,48.5,2400033792,0x0,117964,15756,4211264,18,48.0,185.9
60,2507332,2507332,34,48.0,2400030464,0x0,204932,0,4210136,18,5.5,21.8
63,2507332,2507332,34,48.5,2400023808,0x0,330996,0,4221632,18,0.2,0.0
65,2507336,2507336,34,48.0,2400030464,0x0,409780,7632,4218632,18,10.3,38.5
67,2507336,2507336,34,48.0,2400033792,0x0,378288,16,4229636,19,20.4,77.0
69,2507336,2507336,34,49.0,2400027136,0x0,410052,148,4226692,19,12.3,46.2
71,2507336,2507336,34,48.5,2400033792,0x0,394100,0,4232144,19,18.6,69.2
73,2507336,2507336,34,48.5,2400027136,0x0,362572,92,4220856,19,20.6,77.0
75,2507336,2507336,34,49.0,2400030464,0x0,275620,15688,4218072,19,26.9,100.0
77,2507336,2507336,34,48.5,2400027136,0x0,393964,0,4221672,19,1.9,7.7
79,2507336,2507336,34,48.0,2400030464,0x0,378148,40,4229492,19,18.6,69.3
81,2507336,2507336,34,48.0,2400037120,0x0,252100,16,4206060,19,36.0,138.5
83,2507336,2507336,34,49.6,2400023808,0x0,378148,0,4214252,20,0.2,0.0
85,2507336,2507336,34,49.6,2400033792,0x0,165188,16184,4219984,20,43.8,166.8
87,2507340,2507340,34,47.4,2400020480,0x0,204896,0,4219564,20,10.9,40.9
89,2507340,2507340,34,48.5,2400037120,0x0,330936,0,4217128,20,0.4,0.0
91,2507344,2507344,34,49.0,2400023808,0x0,409708,0,4242188,20,6.2,23.1
94,2507344,2507344,34,49.6,2400020480,0x0,409660,0,4208608,20,20.5,77.0
96,2507344,2507344,34,48.5,2400033792,0x0,393992,7532,4222244,20,18.6,69.2
98,2507344,2507344,34,48.0,2400020480,0x0,393960,12,4226148,20,16.1,61.5
100,2507344,2507344,34,48.0,2400027136,0x0,378252,108,4218732,21,18.6,69.3
